iter	Logloss
259	0.5522548144
260	0.5521050054
261	0.5519182099
262	0.5516992067
263	0.5515254488
264	0.5513816668
265	0.5512856046
266	0.5510334531
267	0.5508162935
268	0.5506629697
269	0.5505056783
270	0.5503109258
271	0.5501405804
272	0.5500262432
273	0.5498231106
274	0.5495681693
275	0.5493926272
276	0.5492714732
277	0.5491194271
278	0.5489867125
279	0.5488454156
280	0.548651143
281	0.5484313015
282	0.5482047753
283	0.5480554138
284	0.5478617638
285	0.5477318281
286	0.5475887227
287	0.5473990915
288	0.5472473041
289	0.5471139399
290	0.5469436134
291	0.5467438151
292	0.5465503537
293	0.5462908976
294	0.5461285037
295	0.5459822715
296	0.5457881255
297	0.5456257774
298	0.5454638714
299	0.5452449949
300	0.5450712236
301	0.5448414494
302	0.5446048451
303	0.5443549685
304	0.5442121461
305	0.5440497387
306	0.54378042
307	0.5435955678
308	0.5434581147
309	0.5432242354
310	0.5430250005
311	0.5428733694
312	0.5427461103
313	0.5426250373
314	0.5424301446
315	0.5421964406
316	0.5420072676
317	0.5418327901
318	0.5416681887
319	0.5415891939
320	0.5413344062
321	0.5412074356
322	0.541045136
323	0.5408422649
324	0.5406462887
325	0.5404641859
326	0.5402595008
327	0.540107336
328	0.5399458612
329	0.5397458338
330	0.5396125855
331	0.5394103829
332	0.5392293582
333	0.5391424658
334	0.5389692201
335	0.5388553385
336	0.5387157101
337	0.5385481329
338	0.5383662484
339	0.5381297438
340	0.5379755278
341	0.5378078374
342	0.5376193787
343	0.5373908014
344	0.5372381272
345	0.5370595526
346	0.5369160428
347	0.5367191637
348	0.5365346538
349	0.5363881467
350	0.5361851085
351	0.5359471942
352	0.5357739836
353	0.5356558782
354	0.5354166243
355	0.5352613058
356	0.5351184915
357	0.5349223967
358	0.5347043275
359	0.5345722018
360	0.5344268524
361	0.5342075271
362	0.5340661575
363	0.533904521
364	0.5337216648
365	0.5335815203
366	0.5334788192
367	0.5332866678
368	0.5331248103
369	0.5329633706
370	0.5327757138
371	0.5325660246
372	0.5323585713
373	0.5321396624
374	0.5319316849
375	0.531730993
376	0.5316138661
377	0.5314829911
378	0.5312864004
379	0.5310982072
380	0.5309861908
381	0.5308228615
382	0.5306491657
383	0.530494284
384	0.5303827662
385	0.5301947873
386	0.5300426522
387	0.5298987246
388	0.529732983
389	0.5295410621
390	0.5293106073
391	0.5291097012
392	0.5289737009
393	0.5288232935
394	0.5286650385
395	0.5284931782
396	0.5282867478
397	0.5281380615
398	0.5279200852
399	0.5277768383
400	0.5275578418
401	0.527369716
402	0.5272340526
403	0.5270974324
404	0.5269506355
405	0.5267660893
406	0.5266314785
407	0.5264813393
408	0.5264025076
409	0.5262625989
410	0.5261233573
411	0.5259478691
412	0.5257632379
413	0.5255642913
414	0.5254573234
415	0.5252627691
416	0.5251050221
417	0.525002503
418	0.5248737008
419	0.5247097584
420	0.5245262984
421	0.5242789393
422	0.524140881
423	0.5239651987
424	0.5237852117
425	0.5236441171
426	0.5234338524
427	0.5232529544
428	0.5230855982
429	0.5228947609
430	0.5227574977
431	0.5226009421
432	0.5224360361
433	0.5222975236
434	0.5221481783
435	0.521981438
436	0.5218359376
437	0.5216974818
438	0.5214618613
439	0.5213313057
440	0.5211797205
441	0.5209815799
442	0.5208639233
443	0.520716373
444	0.5205879267
445	0.5204489048
446	0.5202455445
447	0.5200695899
448	0.5198820032
449	0.5197737024
450	0.5196568827
451	0.5194256221
452	0.5193135625
453	0.5191550729
454	0.5189692841
455	0.5188075532
456	0.5186641189
457	0.5184620416
458	0.5183097165
459	0.5181967284
460	0.5180558237
461	0.5179276078
462	0.5178279795
463	0.5176346273
464	0.5174800326
465	0.5174007198
466	0.5172519041
467	0.5170810573
468	0.5168894005
469	0.5167515026
470	0.5166180481
471	0.5164240895
472	0.5161992035
473	0.516074493
474	0.5159121826
475	0.5157761823
476	0.5155861562
477	0.5155039121
478	0.5153127917
479	0.5151482078
480	0.5150133234
481	0.5149117194
482	0.5147539481
483	0.5145451754
484	0.5143599553
485	0.5142844295
486	0.5141117997
487	0.5139746201
488	0.5138168246
489	0.5136922017
490	0.5135396043
491	0.5133648195
492	0.5131907032
493	0.5130650978
494	0.5128693979
495	0.5126785107
496	0.512480614
497	0.5123237403
498	0.5121808397
499	0.5120344135
